hop,cos_like,sin_like,Tx,Ty,Tz,Cx,Cy,f
0,-0.25541798280207817,0.49047088233748815,-3.5131298894519034,-0.2667309821398549,3.4608810843215068,-3.0,-1.0948335243044824,-99.85467328941183
1,-0.46316342144287176,0.886272895352968,-3.5085493190744854,-0.27984453943470716,3.465721593352572,-3.0,-0.9419339507919103,-99.86072559117443
2,-0.46321518033492803,0.8862458443949286,-3.507453665156387,-0.2787132381802391,3.465365615909634,-2.836110063085036,-0.4612195162049031,-99.86091906555764
3,-0.46321536029352994,0.8862457503357267,-3.507802606100843,-0.2764941285360553,3.465339668322777,-2.2276255148760358,-0.04851945010214537,-99.86074095825143
4,-0.46321711877203553,0.8862448312269775,-3.508329475845072,-0.2774832731888748,3.4652006351987783,-2.5488090558428516,-1.0342284622341738,-99.86081787355573
5,-0.463412734118209,0.8861425606848404,-3.507798760994124,-0.27592380230825164,3.465626520580737,-2.4003104433462736,-0.6046381571965747,-99.8608486142391
6,-0.46309964858636576,0.8863062199258137,-3.5078387055572393,-0.2760819296239307,3.4656250000000006,-2.4101490877167655,-0.6400818655209767,-99.86095352133145
7,-0.46321212753601015,0.8862474399983128,-3.508254937893147,-0.2758161338646124,3.4650922156222017,-3.0,-1.508855922916807,-99.86089622371355
8,-0.4627329898660258,0.8864977045033159,-3.5074113921687644,-0.2738262540279398,3.464432507475118,-3.0,-1.406712523508529,-99.86066507868921
9,-0.4633280295642803,0.8861868522044782,-3.507418672093227,-0.2779261074219939,3.4656560657245525,-2.7428001141361027,-1.0036637162963327,-99.86074993876214
10,-0.46295241695541073,0.8863831336589971,-3.5078243733687717,-0.2770317656350565,3.464788289074112,-1.8311355428380822,-0.6219818388032208,-99.86086518767954
