hop,best_f,current_f,tacc_kj,ke_kj,accepted
1,-103.26426335677594,-103.26426335677594,3.0,2.3,1
2,-103.26435656725828,-103.26435656725828,3.0,2.6449999999999996,1
3,-103.26435656725828,-103.26424567271106,3.0,3.041749999999999,1
4,-103.26435656725828,-103.26402301066065,3.0,3.498012499999999,1
5,-103.26435656725828,-103.2642727967293,3.0,4.022714374999999,1
6,-103.26436738826328,-103.26436738826328,3.0,4.626121531249998,1
7,-146.94359781584097,-146.94359781584097,3.0,5.320039760937497,1
8,-146.94374012053555,-146.94374012053555,3.0,6.1180457250781215,1
9,-146.94374012053555,-146.94365516199997,3.0,7.035752583839839,1
10,-146.94374012053555,-146.94366046025354,3.0,8.091115471415815,1
